Method,n_clusters_found,silhouette,davies_bouldin,ari,nmi
Raw audio + KMeans,10,0.04320582002401352,2.8446558293891213,0.0009159304202808468,0.4000077493840077
Raw text + KMeans,10,0.33332955837249756,1.2778423146290154,9.503596402189896e-05,0.2188992088322657
Raw fused + KMeans,10,0.04295101761817932,2.8506550325008764,0.0008944794137935107,0.3992099005418073
PCA fused + KMeans,10,0.04827412590384483,2.6535734375834634,0.0009259703337284818,0.3994450163597269
Final improved VAE + KMeans,10,0.2796758711338043,0.9999971204366535,0.0006459453883674286,0.3913312015263245
