z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,genre,track_name,track_artist
1.4711686,0.34516683,0.14212261,-1.5814366,0.061776906,-1.5822805,-1.5506746,-2.850705,-0.1741352,-0.5567478,-0.52450395,-0.87693113,-2.0061185,-0.34368396,-0.34247825,-1.7204306,pop,Juke Box Hero,Foreigner
0.016039692,-0.33441332,-1.6229385,-0.6598636,0.68122196,-0.57504725,-3.812687,-1.7596184,-1.5275608,-0.7708823,1.2030015,-3.06444,-2.2895834,-3.2529037,-1.5820584,-2.6281278,rap,We Own It (Fast & Furious),2 Chainz
-0.069689505,-1.9638011,-0.026473604,-0.40762705,2.3580375,3.1160436,-0.67000407,-0.5215583,-2.0415971,-1.7213758,1.4484692,-1.3822612,-1.3453615,-1.6879797,-1.0195345,-0.4003159,rap,Ain't No Future In Yo' Frontin',MC Breed
0.9264905,-0.6529413,0.6691954,-2.352492,-0.067520715,1.3773345,0.27047145,-1.2787194,-0.4719627,-1.0158195,-0.3843937,0.5209747,-0.06457209,0.8276397,0.89392483,0.95188755,latin,La rebelion,Joe Arroyo
1.1993719,-0.1133244,-1.0346897,-1.708576,0.39975423,-0.37725732,0.14272305,-1.827563,-1.3832097,-1.7445264,-0.13861322,-0.36916065,-0.368518,-0.30372226,-0.34674242,0.5962538,pop,It's You - Radio Edit,Syn Cole
0.6366688,0.5696808,1.7255538,1.2177651,1.347437,3.017066,-2.5280972,0.8876736,-1.8172637,-0.33346143,-0.20420635,-0.26310426,-0.18891087,-1.3085032,-3.0481424,-1.7147536,latin,Bongo Bong,Manu Chao
0.96204054,0.18849546,0.02295211,-2.0791988,-0.040087603,-1.289476,-0.50958014,-1.6138635,-0.7636774,-0.9595726,-0.5263008,-0.4779666,-1.3298012,-0.59961873,-0.13768984,-0.19484288,edm,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter
0.6682193,-0.9529147,0.38314354,-1.680258,0.83900553,-0.44240424,1.0132537,-1.393826,-0.122355044,-1.6191673,0.4788785,-0.8834193,-1.6603644,-0.9577188,-0.27976108,-0.516874,edm,Full Moon,DREAMCATCHER
0.5039914,-0.62634873,-1.6128911,-2.1335154,0.9044051,-0.33834425,-0.7793828,-1.6616087,-0.9247427,-2.115401,1.032487,-1.3343148,-1.111545,-1.8499038,-0.045604598,0.26416612,pop,Hot,Confetti
0.60857683,0.041418605,0.38933802,-1.0438447,0.4205447,3.1111794,-1.5246118,1.1160483,-1.9751416,-1.3615451,-0.055653013,-0.101751015,1.1136724,-1.4491405,-1.6020159,0.18051907,r&b,Bené,PNL
1.9645017,0.93121576,1.813394,0.4924059,0.87942195,0.88367796,-0.08713868,-1.5206772,-1.6833862,-0.6651428,-0.38338864,0.3379255,-0.33559775,0.7009511,-1.6954393,-0.8649302,pop,Shine - Kygo Remix,Benjamin Francis Leftwich
2.2429335,0.58593917,0.082699165,-1.9306457,0.50662726,-2.0653718,-0.2527624,-2.8680067,-0.7670122,-1.9808822,-0.2653127,-1.2384706,-1.1000072,-1.022126,-1.000389,-1.4539268,pop,Don't Let It Break Your Heart - Single Edit,Louis Tomlinson
1.4532318,0.8262449,0.25707883,-0.43459263,1.110557,1.5650932,-0.8341762,-0.49926603,-1.1439259,-1.4898254,0.030846976,-0.11061536,0.054763384,-0.81583047,-1.3479252,0.03494982,pop,Been A While,Sam Feldt
0.7714384,-0.41120392,0.053069375,-0.5075946,1.3960869,2.0353308,0.26890802,-0.06466253,-0.8120337,-1.9067155,0.78807163,-0.5464713,0.15553269,-0.48195255,-0.6915285,0.3909682,r&b,Santa Claus Is Coming To Town,The Jackson 5
1.8288097,0.4540089,0.5073202,-1.1651872,0.09474383,-1.1302595,0.91477317,-2.0941408,-1.0257546,-1.3187484,-0.0903272,0.0102076195,-0.5227416,0.24872467,-0.19669427,-0.28508067,edm,Dancing On My Own - Tiësto Remix,Calum Scott
1.0930105,0.14675498,-1.1576864,-1.8430308,0.17346138,-1.4309224,-1.2663413,-2.7005286,-1.2724501,-0.9885528,0.07387789,-0.6928915,-1.6608007,-0.8257673,0.38570434,-0.44975224,rap,Phenomenal,Eminem
0.54704547,-1.0506438,-0.018996738,-2.4162488,1.5539327,-0.20175955,0.016085144,-1.6340593,0.26389772,-2.414437,0.22250769,-1.308358,-2.4032967,-1.9202251,-1.1742041,-1.1702366,edm,Get Get Down - Radio Edit,Merk & Kremont
1.4267405,1.244828,0.33468378,-0.033017423,1.0559156,0.6499561,-0.80402476,-0.55712426,-1.5747082,-2.1620793,-0.26001137,-0.011739578,0.3677046,-0.9235323,-1.420054,-0.41370946,latin,Beautiful Life,Lost Frequencies
0.34700102,-0.62441456,-0.97319084,-1.1467922,0.9211415,1.408435,-0.13983437,0.07466719,-1.1945299,-2.403261,0.8991919,-1.0679437,-0.07905706,-1.7316542,-0.58002114,0.34575036,latin,Suave,Tabitha
-0.17840698,-1.3794947,0.4394707,-0.57402784,1.6319062,3.5208027,-0.2381843,0.40118566,-1.0832747,-2.393446,1.2963628,-1.1002669,-0.056970276,-1.5297427,-1.3780203,-0.55089545,latin,Pegao,Wisin & Yandel
1.7463486,0.2030251,-0.2345175,-1.6623119,1.1125821,1.3265893,0.45457715,-1.9356568,-2.3956933,-2.3638387,0.33981463,0.3423863,0.29282907,0.5182677,-0.6295087,1.8181977,latin,Try,P!nk
0.7202061,-0.13615993,-0.005405929,-2.7697499,0.18440902,1.5558144,-0.5285838,-0.30423617,-0.28500384,-1.9425801,0.35720158,0.31386113,0.21057796,-1.7973471,-0.37020665,0.75187963,latin,Not To Much - Remastered 2016,Don Omar
0.27892295,-0.32220018,-1.1537389,-0.2876137,1.0709046,2.7178721,-1.7996712,-0.03903869,-2.5057302,-1.4100786,0.9403663,-0.7072292,0.96067375,-1.6132514,-0.7928296,0.99629676,rap,Funky Friday,Dave
0.13687433,-0.89070475,-1.3944236,-0.7118045,1.5392354,1.5097777,-0.6050309,-1.2203525,-2.732353,-3.3190305,1.6561491,-1.6899395,-0.6062491,-1.8983746,-1.3678071,-0.45451716,pop,First Love,Lost Kings
3.1398654,0.58067757,4.5379314,-0.5604217,0.088648774,1.3537884,-2.5054135,-3.2531152,-1.7457182,1.6151913,-3.3731976,2.1681228,-2.3511002,2.8760889,-2.2428567,-2.1934414,rap,Alone,Lund
1.770174,-1.2466335,0.73016816,-3.4419575,0.56438845,-1.1703749,0.97813755,-3.9153857,-0.13017134,-1.384718,-0.76184464,-0.27826124,-2.084383,1.8074281,1.0362791,0.5359393,rock,Now That We're Dead,Metallica
0.7519633,1.2107713,-0.29910845,0.22085604,0.69290245,1.1465045,-3.1719782,-0.8589454,-2.2561195,0.28570414,-0.3161589,0.07306944,-0.5184394,-1.5958161,-1.245621,-0.5088594,rap,Love Sosa,Chief Keef
-0.4282552,-1.2098273,-0.17599209,0.09386812,1.7096536,2.608013,-0.5679273,0.3304198,-2.1324465,-2.1389835,0.70313174,-1.2132448,-0.5206459,-1.5198276,-1.7748858,-0.110755265,r&b,Mama Knew Love,Anthony Hamilton
0.00034382148,-0.34043398,1.9106008,0.5741669,1.0897061,5.1057363,-2.6965563,1.3263624,-2.1998134,-0.787674,0.19640309,-0.5017357,0.32788265,-1.9014125,-3.2949538,-2.1762347,rap,Generé,Bipo Montana
0.9816409,-0.2331287,-0.3957758,-0.44806498,1.5672702,1.9673742,0.23835917,-0.47986,-1.6037581,-2.094772,0.79457885,-0.33086503,0.47241908,-0.66758245,-1.2143036,1.1916912,rock,Girlfriend in a Coma - 2011 Remaster,The Smiths
0.6501756,1.1195966,-0.511193,1.3710722,0.7985259,1.3586555,-2.6278257,-1.2410734,-2.5473158,0.059580453,0.7354767,-1.0594218,-0.936026,-1.8247926,-1.301473,-1.90427,rap,Did It Again,Lil Tecca
0.78624004,-0.36317083,-0.062815994,-1.4486537,0.66037875,0.6715069,-0.3406536,-0.9353934,-1.3740493,-1.546126,-0.4142604,0.0077677034,0.055026866,-0.112254836,-0.49310473,1.2903773,latin,I'll Be All You'll Ever Need,Trinere
1.0481597,-1.2252675,1.6331319,-1.6294538,2.0324283,0.94177246,0.09228957,-2.0440943,-0.31705928,-1.3443276,0.10030574,-0.12726179,-2.4917715,-0.56101865,-1.4718775,-0.37224323,rock,Talk Dirty To Me,Poison
1.1614618,1.0255002,1.9422622,0.84716016,0.5093642,2.3496518,-0.93236303,0.34437922,-2.0116777,0.31229898,-1.6635565,1.6388253,1.0461199,1.1086674,-1.8017637,0.533452,r&b,Goodbye Love,Guy
1.2747142,0.57462335,0.015615258,-0.809506,0.7795552,1.3750302,-0.04843278,-0.79458195,-2.4674091,-2.3014524,-0.28446352,-0.07109785,0.5109806,0.05170566,-1.4649402,0.8766297,pop,Morph,Twenty One Pilots
1.6230199,-1.9654503,3.7111409,-1.6131047,2.9823804,2.1039326,-0.109323144,-1.6471435,0.32348925,-2.1521957,0.70197815,-0.45525438,-4.439276,-2.4258769,-3.102148,-3.04771,edm,50 Vezes - Ao Vivo,Sorriso Maroto
1.5041353,-1.1184304,0.36758208,-3.1140523,1.9712498,0.7940061,0.42328474,-3.0992188,-0.38890755,-2.4532113,0.90483046,-0.5011918,-2.7059886,-0.8152712,-0.27651298,-0.5197272,rap,Harlem Shake,Baauer
1.7711686,0.5970049,0.37196523,-0.6305641,0.54344296,0.6295047,0.6675008,-2.1886902,-1.9546703,-1.6731144,0.24615008,0.4597897,-0.005296111,0.51185495,-0.52987856,0.013171114,edm,Always Gonna Say Sorry,Joakim Molitor
