tsne_1,tsne_2,genre,cluster
26.842695,-32.06915,rap,4
85.756744,17.486464,rap,0
79.62248,27.23813,rap,0
-49.26978,-26.233353,rock,5
52.881332,-22.908031,rap,4
5.760644,-3.5988064,r&b,5
52.413235,-26.512383,rap,4
-36.818573,65.08108,edm,1
-37.371593,-40.28802,rock,5
-36.74415,-31.824703,r&b,5
14.8403425,-5.161827,rock,5
-78.60697,35.408165,pop,3
63.15167,-20.260166,r&b,4
-74.72132,55.964413,pop,3
-26.463642,-11.321572,pop,5
95.64194,-2.6671767,rap,2
-39.591457,16.440388,edm,1
-15.945722,-41.841,pop,5
34.352753,12.799911,pop,4
46.85487,-58.584106,rap,4
-52.669136,-15.902331,pop,5
2.9179134,14.265951,pop,5
-10.116986,-5.5880103,rap,5
-15.465987,-64.355156,rap,5
76.048355,3.8228672,rap,0
-2.2218761,78.64922,rock,3
41.794727,39.703697,pop,2
-71.30331,71.660805,rock,3
-26.640425,-64.232666,pop,5
72.81324,14.404516,latin,0
42.14513,37.9538,edm,2
62.246395,-42.975056,rap,4
-49.04527,-54.45258,pop,5
-60.770515,-17.29239,edm,5
26.463846,40.69548,r&b,2
18.576603,30.240097,rock,2
-28.311098,33.2959,edm,1
68.497665,-19.630688,r&b,4
-75.16292,6.6826053,rock,1
57.649918,-11.430687,r&b,4
-36.73914,17.426455,rock,1
-43.3031,-40.58483,pop,5
23.43144,-11.248491,pop,4
-39.183094,-19.602592,rock,1
54.668575,28.170628,pop,0
0.9100048,-35.115204,pop,4
-36.17773,-8.150416,edm,1
67.98351,21.890745,rap,0
47.01656,-28.603495,rap,4
-83.08583,33.64665,edm,3
-28.117836,36.491844,rap,1
-44.86366,-35.819405,pop,5
73.509445,-24.87699,rap,4
-79.09619,-38.881035,rock,5
14.266401,-74.61815,latin,5
-24.119205,-8.07301,rap,5
-76.2011,58.333458,rock,3
22.833311,-33.597668,r&b,4
45.682747,-15.75327,latin,4
-22.722296,55.805992,r&b,1
-45.490498,64.41194,edm,3
23.619747,38.798183,r&b,2
-63.672394,-42.61765,rock,5
-31.93807,18.146425,pop,1
17.376253,-28.576086,latin,4
28.194777,79.6391,rock,2
13.313374,-17.356424,r&b,4
67.776,-25.971296,edm,4
-34.942783,-75.203384,rock,5
11.40784,38.888466,rock,2
43.127934,4.4536095,rap,4
42.697887,-17.268665,latin,4
81.71367,-21.86743,rap,4
-41.428665,35.10729,pop,1
-19.064869,-60.377293,pop,5
-19.970987,30.434816,pop,1
20.037697,-4.6656375,rock,4
-3.0616405,26.072721,rap,1
51.02886,-60.699387,rap,4
-27.902552,-72.05522,rock,5
2.3359742,-51.030434,rap,4
3.6352675,-15.99328,latin,5
-31.035635,-21.930967,pop,5
-69.44175,43.339832,pop,3
57.616592,-40.5819,rap,4
50.565025,-10.838592,rap,0
14.340476,-70.016846,rap,5
-15.063738,-6.7456985,rap,5
28.348497,47.33644,pop,2
